Model Family,Model,N_Features,CV_MAE,CV_MAE_std,CV_RMSE,CV_RMSE_std,CV_R2,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_R2,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns
Structural + SVI,Gradient Boosting,12,0.01369255674620222,0.0001513484080783212,0.040863185991007536,0.0015032945836213416,0.058847094256661646,0.003179277449561397,0.014113181171279618,0.04298390611027995,0.05937552553452008,17.18230987499919,6.717792958002974,0.024626999998872634,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,Linear Regression,14,0.014104575531387725,0.00025122419612218775,0.04130383252841727,0.0014787450447329496,0.03836972679215093,0.0029966496746829147,0.014567312955400527,0.043521516674446974,0.03569912687681687,1.459896000000299,0.20635445900188643,0.052178083002218045,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,Ridge Regression,14,0.014100138018924372,0.00024411121072125846,0.04130651824570045,0.0014825878125992742,0.03825207909038183,0.0027289710926703455,0.014570816828592017,0.04352076927762129,0.03573224655086371,0.7500872080017871,0.11949558299966156,0.01792883400048595,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,Lasso Regression,14,0.014036879796016798,0.00023145437807740776,0.041342998801845846,0.001488750964242885,0.0365637657138523,0.0018553960796782848,0.014504018087723829,0.043559470286413736,0.034016526536235436,10.636303416998999,2.8608264590002364,0.01521254100225633,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,Elastic Net,14,0.014027086723403843,0.0002274077302234675,0.04135367927581551,0.0014883222569968466,0.03606465065594244,0.0018043389099107656,0.014492406012040084,0.043569315680434866,0.0335798103576016,10.963196000000607,1.44829241700063,0.019323374999657972,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI,Linear Regression,12,0.014191918852889084,0.0002554754973556159,0.041438969449984035,0.0014914910066274975,0.032079532444181234,0.0032654518717058234,0.014721044241989839,0.0436689976836547,0.029152616550620958,1.3114587080017373,0.24011983400123427,0.013291833998664515,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,Linear Regression,11,0.014183786830931975,0.0002544224214170521,0.04144081050189332,0.0014892144369278001,0.03198951509173176,0.0032596513986045106,0.014666711486195397,0.043670359561607676,0.029092061175673534,0.8304309170016495,0.2701162090015714,0.029780041997582885,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,Ridge Regression,12,0.014186963381162097,0.0002552704843266852,0.04144196276516184,0.0014900568286529536,0.03193747869174109,0.003158585384446693,0.01467326189963305,0.043669976806151485,0.029109080439366997,0.68107987500116,0.13068175000080373,0.020911707997584017,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,Ridge Regression,11,0.01418440934863518,0.0002549903627383087,0.04144298740381761,0.001490046193877315,0.031889456106002544,0.003175965246841486,0.01467020918644782,0.04367092035389121,0.029067125215377576,0.41655125000033877,0.053039457998238504,0.00802458399994066,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural-only core,Lasso Regression,11,0.014131218353826748,0.0002454648469235514,0.041477234915394325,0.001497737550963161,0.030303391698318343,0.00223599044497418,0.014605648283510452,0.043711040567295745,0.027282325296294485,6.391988458002743,3.531661458000599,0.04494537500067963,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
