Rank,Feature Set,Model,CV_MAE,CV_RMSE,CV_RMSLE,CV_R2,CV_MAE_std,CV_RMSE_std,CV_RMSLE_std,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_RMSLE,Holdout_R2,Holdout_MAE_Positive,Holdout_RMSE_Positive,Holdout_RMSLE_Positive,Holdout_R2_Positive
1,Structural + HAZUS Class,Extra Trees,0.0121076855854548,0.038232148709927,0.0335960830935225,0.1757330321484683,0.000131616030188,0.0011563626354449,0.0008670895036611,0.0086945899692095,0.0123498113159565,0.0393413114973355,0.0344400614365006,0.2120436059827998,0.0161046184920073,0.0476761543792148,0.0415563904615545,0.2276215363274749
2,Structural + SVI,Extra Trees,0.0124745075803873,0.0384895604485131,0.0338050179163897,0.1648158211910623,0.000175585569369,0.0013027786712717,0.0010121882314466,0.0056820202843434,0.0126190429728226,0.0396231421515231,0.0346421190321589,0.2007137502373218,0.0164480085153179,0.0482615154281582,0.0420389424120973,0.2085387974698171
3,Structural + SVI + HAZUS Class,Extra Trees,0.0122546814167371,0.0385116168498421,0.0338616110094022,0.1636642786097298,0.0001512803502961,0.0011954208573044,0.0009021176774123,0.0098855317198091,0.0125232452968558,0.0397968105317462,0.0348426153498741,0.1936918461281825,0.0162698942099685,0.0482044452876069,0.0420154523200885,0.2104095259454618
4,Structural Core,Extra Trees,0.0124090384415368,0.0385184325549152,0.0338199970767874,0.1636604568352618,0.0001947882777909,0.0013603749590842,0.0010723686326347,0.004808238200572,0.0124760647360737,0.0392860049746579,0.0343437049691845,0.2142574872423344,0.0161603561321593,0.0476777822557677,0.041514130319108,0.2275687905356689
5,Structural + HAZUS Class,Random Forest,0.0127631078349517,0.0387773437922921,0.0339232998729029,0.1522967341937511,0.0001377893977774,0.0013377555617413,0.0010411217644532,0.0081036585190248,0.0130326019793737,0.0403334737187453,0.0351117616953097,0.1717989606381257,0.0171086593684706,0.0493447380981667,0.0428228037955814,0.172611619539963
