Target Kind,Model Family,Model,Feature,Importance Type,Importance,Importance_std
fragility,Structural Core,Lasso Regression,operating_rating,coefficient_abs,4.398955700218501e-06,
event_edr,Event Damage Family,Lasso Regression,pga,coefficient_abs,0.03495469525711475,
event_edr,Event Damage Family,Lasso Regression,HWB_CLASS,coefficient_abs,0.007642013385342479,
event_edr,Event Damage Family,Lasso Regression,deck_area_log1p,coefficient_abs,0.004311089050686991,
event_edr,Event Damage Family,Lasso Regression,SVI,coefficient_abs,0.0018990513596657483,
event_edr,Event Damage Family,Lasso Regression,cond,coefficient_abs,0.0012700254741440237,
event_edr,Event Damage Family,Lasso Regression,max_span_log1p,coefficient_abs,0.001264113185346019,
event_edr,Event Damage Family,Lasso Regression,spans,coefficient_abs,0.000860874906817561,
event_edr,Event Damage Family,Lasso Regression,operating_rating,coefficient_abs,0.000856111627690834,
event_edr,Event Damage Family,Lasso Regression,design_era_1989,coefficient_abs,0.0008274332926105972,
event_edr,Event Damage Family,Lasso Regression,time_since_rehab,coefficient_abs,0.0005315125228545263,
event_edr,Event Damage Family,Lasso Regression,skew,coefficient_abs,0.00018762269766159993,
event_edr,Event Damage Family,Lasso Regression,age_years,coefficient_abs,0.0,
event_edr,Event Damage Family,Lasso Regression,reconstructed_flag,coefficient_abs,0.0,
fragility,Structural Core,Elastic Net,HWB_CLASS,coefficient_abs,0.2502610336471516,
fragility,Structural Core,Elastic Net,design_era_1989,coefficient_abs,0.06538510708551303,
fragility,Structural Core,Elastic Net,skew,coefficient_abs,0.033481500670777146,
fragility,Structural Core,Elastic Net,age_years,coefficient_abs,0.013239528746233315,
fragility,Structural Core,Elastic Net,cond,coefficient_abs,0.01305728085500362,
fragility,Structural Core,Elastic Net,time_since_rehab,coefficient_abs,0.00838747677855598,
fragility,Structural Core,Elastic Net,deck_area_log1p,coefficient_abs,0.002612096554578482,
fragility,Structural Core,Elastic Net,reconstructed_flag,coefficient_abs,0.0025099493657819334,
fragility,Structural Core,Elastic Net,spans,coefficient_abs,0.0023053897018716217,
fragility,Structural Core,Elastic Net,max_span_log1p,coefficient_abs,0.0015051429891898608,
fragility,Structural Core,Elastic Net,operating_rating,coefficient_abs,5.450711513820557e-06,
event_edr,Event Damage Family,Elastic Net,pga,coefficient_abs,0.03486790023252328,
event_edr,Event Damage Family,Elastic Net,HWB_CLASS,coefficient_abs,0.006266046122104529,
event_edr,Event Damage Family,Elastic Net,deck_area_log1p,coefficient_abs,0.004081513063496257,
event_edr,Event Damage Family,Elastic Net,SVI,coefficient_abs,0.0019792331588032465,
event_edr,Event Damage Family,Elastic Net,cond,coefficient_abs,0.0012754124894218059,
event_edr,Event Damage Family,Elastic Net,max_span_log1p,coefficient_abs,0.0011306141243469198,
event_edr,Event Damage Family,Elastic Net,operating_rating,coefficient_abs,0.0008284761357168656,
event_edr,Event Damage Family,Elastic Net,spans,coefficient_abs,0.0007911712094406309,
event_edr,Event Damage Family,Elastic Net,design_era_1989,coefficient_abs,0.000622764035836156,
event_edr,Event Damage Family,Elastic Net,time_since_rehab,coefficient_abs,0.0004048315185874542,
event_edr,Event Damage Family,Elastic Net,skew,coefficient_abs,0.00013432826744264251,
event_edr,Event Damage Family,Elastic Net,age_years,coefficient_abs,0.0,
event_edr,Event Damage Family,Elastic Net,reconstructed_flag,coefficient_abs,0.0,
fragility,Structural Core,Linear Regression,HWB_CLASS,coefficient_abs,0.3473596925724455,
fragility,Structural Core,Linear Regression,design_era_1989,coefficient_abs,0.07182654892528081,
fragility,Structural Core,Linear Regression,skew,coefficient_abs,0.033583393351154865,
fragility,Structural Core,Linear Regression,age_years,coefficient_abs,0.015517988321329095,
fragility,Structural Core,Linear Regression,cond,coefficient_abs,0.013370096959511047,
fragility,Structural Core,Linear Regression,time_since_rehab,coefficient_abs,0.012166888662472522,
fragility,Structural Core,Linear Regression,deck_area_log1p,coefficient_abs,0.0038780095375388784,
fragility,Structural Core,Linear Regression,spans,coefficient_abs,0.0023498096105789104,
fragility,Structural Core,Linear Regression,max_span_log1p,coefficient_abs,0.0021946158177168335,
fragility,Structural Core,Linear Regression,reconstructed_flag,coefficient_abs,0.0015034133162257737,
fragility,Structural Core,Linear Regression,operating_rating,coefficient_abs,1.848413265619916e-05,
event_edr,Event Damage Family,Linear Regression,pga,coefficient_abs,0.035292417281703764,
event_edr,Event Damage Family,Linear Regression,HWB_CLASS,coefficient_abs,0.02821737933140134,
event_edr,Event Damage Family,Linear Regression,deck_area_log1p,coefficient_abs,0.005627113014789433,
event_edr,Event Damage Family,Linear Regression,max_span_log1p,coefficient_abs,0.002124688077383397,
event_edr,Event Damage Family,Linear Regression,design_era_1989,coefficient_abs,0.0020558324453833496,
event_edr,Event Damage Family,Linear Regression,time_since_rehab,coefficient_abs,0.0014886266107901464,
event_edr,Event Damage Family,Linear Regression,cond,coefficient_abs,0.0011712492946631737,
event_edr,Event Damage Family,Linear Regression,SVI,coefficient_abs,0.0011598325481697157,
event_edr,Event Damage Family,Linear Regression,spans,coefficient_abs,0.0011184605082883935,
event_edr,Event Damage Family,Linear Regression,operating_rating,coefficient_abs,0.0009805122091852882,
event_edr,Event Damage Family,Linear Regression,skew,coefficient_abs,0.0006498912122759647,
event_edr,Event Damage Family,Linear Regression,age_years,coefficient_abs,0.00014847777003522712,
event_edr,Event Damage Family,Linear Regression,reconstructed_flag,coefficient_abs,9.753994934124527e-05,
