Comparison,MAE,RMSE,R2
Fragility-first structural core reconstructed at observed PGA,0.000161866378244391,0.0010808676152772214,0.9992962744218725
Direct event EDR model with PGA,0.0003602386658716583,0.0023073243280775793,0.9967931723659326
