Scenario,Scenario_PGA_g,Mean_Predicted_EDR,Median_Predicted_EDR,P90_Predicted_EDR,P95_Predicted_EDR,Bridges_EDR_ge_0_02,Bridges_EDR_ge_0_08,Bridges_EDR_ge_0_25
Observed PGA,,0.01098765955080249,0.00037650366567708164,0.011579528655334202,0.04938456737362175,2052,961,332
Scenario 0.05g,0.05,0.0012476356886361479,0.0012411894148441974,0.0018308436480683357,0.0020667066803297654,0,0,0
Scenario 0.10g,0.1,0.0048181109721708625,0.0041285727012900985,0.008894414771594325,0.009899727276352148,0,0,0
Scenario 0.20g,0.2,0.027060915426683346,0.030866578191621245,0.03601737710577417,0.037672389894725565,20817,0,0
Scenario 0.40g,0.4,0.11480256886137735,0.12682407893773948,0.1554307764842131,0.16067434124262353,25975,20959,0
