Question,Baseline Family,Test Family,Baseline Best CV_RMSE,Test Best CV_RMSE,Delta CV_RMSE,Improved?
Does SVI improve over structural-only?,Structural-only core,Structural + SVI,0.03907903713156985,0.03921920314057598,0.00014016600900613324,False
Does NDVI add value only in post-event setup?,Structural + SVI,Structural + SVI + NDVI,0.03921920314057598,0.039397980239111834,0.0001787770985358511,False
