structure_no,latitude,longitude,geometry,inside_shakemap,pga
0304-0081,32.709722222222226,-114.9726388888889,POINT (-114.9726388888889 32.709722222222226),True,0.004367126617580652
0304-0082,32.71277777777778,-114.94311111111111,POINT (-114.94311111111111 32.71277777777778),True,0.004162803757935762
0304-0094,32.79752777777777,-114.61345277777777,POINT (-114.61345277777777 32.79752777777777),True,0.0023255872074514627
0304-0098,32.73775,-114.71738888888889,POINT (-114.71738888888889 32.73775),True,0.0026621802244335413
0304-0100,32.68611111111111,-115.51611111111112,POINT (-115.51611111111112 32.68611111111111),True,0.00801666360348463
0304-0102,32.686388888888885,-115.50778055555556,POINT (-115.50778055555556 32.686388888888885),True,0.008182504214346409
0304-0103,32.85938888888889,-114.49316666666667,POINT (-114.49316666666667 32.85938888888889),True,0.0023242924362421036
0304-0294,32.70416666666667,-114.95694444444445,POINT (-114.95694444444445 32.70416666666667),True,0.004009042866528034
28 0210,37.72332222222222,-121.94050555555556,POINT (-121.94050555555556 37.72332222222222),True,0.0012229840504005551
29 0024,37.71946388888889,-121.53571666666666,POINT (-121.53571666666666 37.71946388888889),True,0.0015624440275132656
29 0080,37.67194722222222,-121.45751944444444,POINT (-121.45751944444444 37.67194722222222),True,0.0014575119130313396
29 0081L,37.669755555555554,-121.45335277777778,POINT (-121.45335277777778 37.669755555555554),True,0.0014575119130313396
29 0081R,37.66995555555555,-121.45303333333334,POINT (-121.45303333333334 37.66995555555555),True,0.0014575119130313396
29 0082L,37.712675000000004,-121.52426666666666,POINT (-121.52426666666666 37.712675000000004),True,0.001572122098878026
29 0082R,37.71261388888889,-121.52351388888889,POINT (-121.52351388888889 37.71261388888889),True,0.001572122098878026
29 0083L,37.701708333333336,-121.50611111111111,POINT (-121.50611111111111 37.701708333333336),True,0.0014044386334717274
29 0083R,37.70185277777778,-121.50570833333333,POINT (-121.50570833333333 37.70185277777778),True,0.0014044386334717274
29 0094,37.65793611111111,-121.43433333333334,POINT (-121.43433333333334 37.65793611111111),True,0.00143600779119879
29 0117L,37.60380833333333,-121.34296944444444,POINT (-121.34296944444444 37.60380833333333),True,0.0018944820621982217
29 0117R,37.603836111111114,-121.34258055555556,POINT (-121.34258055555556 37.603836111111114),True,0.0018944820621982217
29 0141L,37.61483055555556,-121.36488055555554,POINT (-121.36488055555554 37.61483055555556),True,0.0018448791233822703
29 0141R,37.614869444444444,-121.36437222222222,POINT (-121.36437222222222 37.614869444444444),True,0.0018448791233822703
29 0161R,37.63888055555555,-121.40310833333334,POINT (-121.40310833333334 37.63888055555555),True,0.0016697418177500367
29 0162,37.63886111111111,-121.39768055555557,POINT (-121.39768055555557 37.63886111111111),True,0.0016697418177500367
29 0164L,37.69981666666666,-121.50298611111111,POINT (-121.50298611111111 37.69981666666666),True,0.0014044386334717274
29 0164R,37.70006388888889,-121.50275277777777,POINT (-121.50275277777777 37.70006388888889),True,0.0014044386334717274
29 0165L,37.68586388888889,-121.47995833333333,POINT (-121.47995833333333 37.68586388888889),True,0.0013621174730360508
29 0165R,37.68618333333333,-121.47983888888889,POINT (-121.47983888888889 37.68618333333333),True,0.0013621174730360508
29 0167,37.63798333333333,-121.29607777777778,POINT (-121.29607777777778 37.63798333333333),True,0.002112924586981535
29 0169,37.635647222222225,-121.39754444444445,POINT (-121.39754444444445 37.635647222222225),True,0.0016697418177500367
29 0170,37.61145833333333,-121.36092777777777,POINT (-121.36092777777777 37.61145833333333),True,0.0018448791233822703
