Feature Group,Model,CV_Accuracy,CV_Balanced_Accuracy,CV_Macro_F1,CV_Weighted_F1,Holdout_Accuracy,Holdout_Balanced_Accuracy,Holdout_Macro_F1,Holdout_Weighted_F1,Holdout_Within_One_State_Accuracy,Holdout_Quadratic_Weighted_Kappa
Event Damage Classifier,Logistic Regression,0.9890663403193719,0.9856606129145741,0.9312046920800343,0.9897205767033328,0.9890279114533205,0.9836807424130393,0.9207877537159948,0.9896794995017065,0.9992300288739172,0.9621236176158595
Structural Vulnerability Classifier,Logistic Regression,0.5775165973225794,0.5382256740463575,0.2624090761187441,0.6970913857553244,0.5743984600577479,0.558036389861045,0.263839201419273,0.6948020244117266,0.7114533205004813,0.04674605396056131
