Feature Group,Model,CV_Accuracy,CV_Balanced_Accuracy,CV_Macro_F1,CV_Weighted_F1,Holdout_Accuracy,Holdout_Balanced_Accuracy,Holdout_Macro_F1,Holdout_Weighted_F1,Holdout_Within_One_State_Accuracy,Holdout_Quadratic_Weighted_Kappa
Event Damage Classifier,Logistic Regression,0.9890663403193719,0.9856606129145741,0.9312046920800343,0.9897205767033328,0.9890279114533205,0.9836807424130393,0.9207877537159948,0.9896794995017065,0.9992300288739172,0.9621236176158595
Event Damage Classifier,Random Forest,0.9945331145816191,0.9003367656156488,0.9236676599427248,0.994520883277325,0.995572666025024,0.8718643159779771,0.9051051827202612,0.9954749232043177,0.9990375360923965,0.9773673223619705
Event Damage Classifier,Extra Trees,0.9919537765131944,0.8784370672066003,0.9205935354480403,0.9916068493449974,0.9932627526467758,0.8660211888265887,0.8995840298160419,0.9930734644056681,0.9990375360923965,0.9703175083848039
Event Damage Classifier,HistGradientBoosting,0.9927237772831953,0.8143642901892254,0.8077361385420043,0.9928190053026658,0.9911453320500482,0.7691889891339929,0.7727737577192139,0.9911398879839334,0.9961501443695862,0.9384492845666838
Structural Vulnerability Classifier,Logistic Regression,0.5775165973225794,0.5382256740463575,0.2624090761187441,0.6970913857553244,0.5743984600577479,0.558036389861045,0.263839201419273,0.6948020244117266,0.7114533205004813,0.04674605396056131
Structural Vulnerability Classifier,Random Forest,0.9416361647566175,0.3494638160032905,0.40740652441839975,0.9238968816042891,0.9399422521655438,0.3493995834014472,0.39890910684304715,0.9231665749412866,0.9707410972088547,0.19337015460497797
Structural Vulnerability Classifier,Extra Trees,0.9423676921655902,0.34862130692373144,0.40493617803183896,0.9226778959201858,0.94167468719923,0.33533497555788105,0.3874629801082207,0.9220752983929108,0.9720885466794995,0.18835516681472553
Structural Vulnerability Classifier,HistGradientBoosting,0.9400192387257867,0.31654176429206754,0.3577203262620274,0.9182655825264717,0.9395572666025024,0.30520705267594506,0.336043226733047,0.9192063508827979,0.971126082771896,0.13277691024420646
