Target Strategy,Model Family,Model,N_Features,CV_MAE,CV_MAE_std,CV_RMSE,CV_RMSE_std,CV_R2,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_R2,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns
Direct event EDR,Event Damage Family,Decision Tree,13,0.0007650581284734341,0.00012321346448774262,0.00446384589545364,0.0007033009628776578,0.98829064747036,0.0023997462431066814,0.0003602386658716583,0.0023073243280775793,0.9967931723659326,0.2654894999868702,0.2144822080153972,0.006102082988945767,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,AdaBoost,13,0.001478394509652447,1.7131135480760734e-05,0.00539880637052913,0.0002387485176892822,0.9825256196453002,0.0033166056201600572,0.0014264884317547626,0.0052167402376007855,0.9836070637148778,1.1475736669963226,1.167895458987914,0.016023333999328315,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,HistGradientBoosting,13,0.0019501887255805913,0.00011478990391999409,0.007060254815535834,0.0007315061215253403,0.9706997946435356,0.004131221712941661,0.0018643955839757374,0.006117677270365038,0.977455975268816,1.5805289169948082,0.42960604099789634,0.010284207994118333,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,KNeighbors,13,0.00229155564836981,0.0002359276880180157,0.010284732252110436,0.0008387309508361693,0.9380062002679277,0.004302476205573613,0.0014481138785838663,0.006669178023258828,0.9732081349090146,1.0577623329882044,0.06599316600477323,0.25286358399898745,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Gradient Boosting,13,0.0025432108980404946,0.00013389472668621372,0.008264878465584526,0.0007578376745037698,0.9598644156496685,0.004775771604231047,0.0025134214790459033,0.008248884785538028,0.9590127479570306,0.8286559169937391,1.215499167010421,0.015713041997514665,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Random Forest,13,0.0035721695349484883,0.00019370937231796048,0.013285833810804235,0.0012795276194590057,0.8965745975243484,0.010192304626512634,0.0026974421029135605,0.010697266592535103,0.9310706845636663,0.5958893329952843,0.601362458022777,0.06213029200443998,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Extra Trees,13,0.004845567751890546,0.00026542955027055766,0.01710074904162472,0.0011461426855694321,0.8285913277413096,0.0028288209934496087,0.0037521298225945,0.013079543419977292,0.896951068084823,0.46823529098764993,0.15102695897803642,0.03713412501383573,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Support Vector Regressor (LinearSVR),13,0.0058190055544364945,0.0002725496427983813,0.014549327216733618,0.0007627101567540914,0.8756302107558275,0.004923895728805983,0.005615824628233332,0.01453324763016321,0.8727717147500731,0.17231666698353365,0.09528070798842236,0.005719167005736381,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Linear Regression,13,0.00668790694191252,0.00027062708580893744,0.016189499581647632,0.0009404817216281498,0.8461553326173915,0.004668719637296268,0.00644054003726761,0.016025251471055484,0.8453079362453018,0.08929295800044201,0.0549620829988271,0.005755417019827291,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
Direct event EDR,Event Damage Family,Ridge Regression,13,0.006685588629144961,0.00027098899606286636,0.0161920970500347,0.0009408985852956762,0.8461072340906975,0.00463447758520242,0.006440314202641965,0.016026363990593945,0.8452864571543244,0.08626395900500938,0.05063708400120959,0.00578441601828672,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, pga"
