Model Family,Encoded Feature,Source Feature,Coefficient,Abs_Coefficient,Model
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-13044859263.656788,13044859263.656788,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-13044859263.656336,13044859263.656336,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-13044859263.65564,13044859263.65564,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-13044859263.655512,13044859263.655512,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-13044859263.654612,13044859263.654612,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,-13044859263.653786,13044859263.653786,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,-13044859263.653446,13044859263.653446,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB12,HWB_CLASS,-13044859263.652868,13044859263.652868,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB11,HWB_CLASS,-13044859263.652775,13044859263.652775,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB4,HWB_CLASS,-13044859263.648523,13044859263.648523,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB1,HWB_CLASS,-13044859263.646667,13044859263.646667,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB2,HWB_CLASS,-13044859263.642572,13044859263.642572,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB28,HWB_CLASS,-13044859263.641401,13044859263.641401,Linear Regression
Structural-only core,num__deck_area_log1p,deck_area_log1p,0.00572260781393892,0.00572260781393892,Linear Regression
Structural-only core,num__operating_rating,operating_rating,0.0027512899566179794,0.0027512899566179794,Linear Regression
Structural-only core,num__spans,spans,-0.0019971780927847504,0.0019971780927847504,Linear Regression
Structural-only core,num__cond,cond,0.0012028431844163104,0.0012028431844163104,Linear Regression
Structural-only core,num__reconstructed_flag,reconstructed_flag,0.00076107377166151,0.00076107377166151,Linear Regression
Structural-only core,num__age_years,age_years,0.0005689158926334513,0.0005689158926334513,Linear Regression
Structural-only core,num__skew,skew,-0.0005050873517599844,0.0005050873517599844,Linear Regression
Structural-only core,num__max_span_log1p,max_span_log1p,-0.00047782321110027853,0.00047782321110027853,Linear Regression
Structural-only core,num__time_since_rehab,time_since_rehab,0.00042146110719155406,0.00042146110719155406,Linear Regression
Structural-only core,cat__HWB_CLASS_HWB28,HWB_CLASS,0.011945852799778545,0.011945852799778545,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB2,HWB_CLASS,0.011443728151446748,0.011443728151446748,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB1,HWB_CLASS,0.006647164069402283,0.006647164069402283,Support Vector Regressor (LinearSVR)
Structural-only core,num__deck_area_log1p,deck_area_log1p,0.0065502366106127,0.0065502366106127,Support Vector Regressor (LinearSVR)
Structural-only core,cat__design_era_1989_1975-1989,design_era_1989,0.006224570957030122,0.006224570957030122,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB4,HWB_CLASS,0.005508250945030647,0.005508250945030647,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0049881998083834275,0.0049881998083834275,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.004035596968421959,0.004035596968421959,Support Vector Regressor (LinearSVR)
Structural-only core,cat__design_era_1989_Pre-1975,design_era_1989,0.0038026292287825806,0.0038026292287825806,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB12,HWB_CLASS,-0.0035571993733131877,0.0035571993733131877,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.003468922090193479,0.003468922090193479,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.003259544716359529,0.003259544716359529,Support Vector Regressor (LinearSVR)
Structural-only core,num__operating_rating,operating_rating,0.0028527530672986206,0.0028527530672986206,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.002460279534724214,0.002460279534724214,Support Vector Regressor (LinearSVR)
Structural-only core,num__spans,spans,-0.0021352620844325696,0.0021352620844325696,Support Vector Regressor (LinearSVR)
Structural-only core,num__cond,cond,0.0017663783783428803,0.0017663783783428803,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0013563455216940958,0.0013563455216940958,Support Vector Regressor (LinearSVR)
Structural-only core,cat__design_era_1989_1990+,design_era_1989,0.001096189780082083,0.001096189780082083,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,-0.000999180915415967,0.000999180915415967,Support Vector Regressor (LinearSVR)
Structural-only core,num__reconstructed_flag,reconstructed_flag,0.0007858062436313863,0.0007858062436313863,Support Vector Regressor (LinearSVR)
Structural-only core,num__skew,skew,-0.0007491417714466593,0.0007491417714466593,Support Vector Regressor (LinearSVR)
Structural-only core,num__max_span_log1p,max_span_log1p,-0.0004540494917165369,0.0004540494917165369,Support Vector Regressor (LinearSVR)
Structural-only core,num__age_years,age_years,-0.0003017546008876439,0.0003017546008876439,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,-0.00029633707125926057,0.00029633707125926057,Support Vector Regressor (LinearSVR)
Structural-only core,num__time_since_rehab,time_since_rehab,0.00021775592307038318,0.00021775592307038318,Support Vector Regressor (LinearSVR)
Structural-only core,cat__HWB_CLASS_HWB28,HWB_CLASS,0.009120490683181288,0.009120490683181288,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB2,HWB_CLASS,0.009034939533307682,0.009034939533307682,Ridge Regression
Structural-only core,num__deck_area_log1p,deck_area_log1p,0.005739414425540963,0.005739414425540963,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB1,HWB_CLASS,0.005115565041314086,0.005115565041314086,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0050764165439958755,0.0050764165439958755,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.004662339000496425,0.004662339000496425,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.003930110240299962,0.003930110240299962,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.0038780290296340256,0.0038780290296340256,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB4,HWB_CLASS,0.003165894551199472,0.003165894551199472,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0029646125431994964,0.0029646125431994964,Ridge Regression
Structural-only core,num__operating_rating,operating_rating,0.002766871762462587,0.002766871762462587,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB6,HWB_CLASS,-0.0021640934672517613,0.0021640934672517613,Ridge Regression
Structural-only core,num__spans,spans,-0.001993789130865275,0.001993789130865275,Ridge Regression
Structural-only core,cat__design_era_1989_1990+,design_era_1989,-0.0018689138649017614,0.0018689138649017614,Ridge Regression
