PGA_bin,n,pipeline_edr,fragility_reconstructed_edr,direct_event_edr
0,1858,0.0,0.0,1.6796294848671192e-09
"(0,0.05]",1980,1.4793073323475464e-06,1.4789538755610598e-06,1.4882020879413203e-06
"(0.05,0.10]",584,0.0003186984944956296,0.0003161864889082953,0.00031696202943453495
"(0.10,0.20]",423,0.003659685304991261,0.003643544261635286,0.0036841484258253246
"(0.20,0.40]",218,0.040122060016911355,0.03981016069486908,0.04002364774506661
>0.40,132,0.23218264528376498,0.23139752376105033,0.2314709448767108
