Target Strategy,Model Family,Model,N_Features,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,Holdout_MAE_mean,Holdout_RMSE_mean,Holdout_R2_mean,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns,Holdout_MAE_MU_DS1_LINEAR,Holdout_RMSE_MU_DS1_LINEAR,Holdout_R2_MU_DS1_LINEAR,Holdout_MAE_MU_DS2_LINEAR,Holdout_RMSE_MU_DS2_LINEAR,Holdout_R2_MU_DS2_LINEAR,Holdout_MAE_MU_DS3_LINEAR,Holdout_RMSE_MU_DS3_LINEAR,Holdout_R2_MU_DS3_LINEAR,Holdout_MAE_MU_DS4_LINEAR,Holdout_RMSE_MU_DS4_LINEAR,Holdout_R2_MU_DS4_LINEAR,Holdout_MAE_BETA_SVI,Holdout_RMSE_BETA_SVI,Holdout_R2_BETA_SVI
Fragility parameters,Structural + SVI,Random Forest,12,0.004516717478995993,6.17670144383707e-05,0.008406206575576045,0.00023414502783005708,0.9855218596026672,0.0010428758408186503,0.0025986376138034274,0.004895059620733452,0.9942484720099548,0.9654848750215024,0.6332715000025928,0.0608423330122605,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.0022686518850664797,0.004273464748259364,0.9942484720099548,0.0026811340459876624,0.005050458338851978,0.9942484720099548,0.003093616206908848,0.005827451929444588,0.9942484720099548,0.004124821609211783,0.007769935905926107,0.9942484720099548,0.0008249643218423637,0.0015539871811852226,0.9942484720099548
Fragility parameters,Structural + SVI + NDVI,Random Forest,14,0.00492383456415137,0.00037454624153152526,0.008949325911852412,0.0005871926366658966,0.9835709521972373,0.001990868563353188,0.0029028833703587473,0.005277541724483503,0.9933145504298688,0.4548059169901535,0.3005881250137463,0.04197037499397993,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.002534263259837008,0.0046073776959776516,0.9933145504298687,0.002995038397989177,0.005445082731609969,0.9933145504298687,0.0034558135361413634,0.006282787767242253,0.9933145504298688,0.0046077513815218196,0.008377050356323034,0.9933145504298687,0.0009215502763043677,0.001675410071264605,0.9933145504298687
Fragility parameters,Structural + SVI,HistGradientBoosting,12,0.006571623697138985,6.103093391696528e-05,0.008876492788238526,0.00010145310210941537,0.9838861501037641,0.00023454354638794057,0.006584658286496061,0.008166483083503626,0.9839919880581418,13.977626332984073,5.303742541000247,0.07179129097494297,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.005748511203166705,0.007129469358582591,0.9839919880569521,0.006793695058308093,0.008425736515169329,0.9839919880551251,0.00783887891085688,0.009722003667580305,0.9839919880675367,0.010451838550229084,0.012962671564418368,0.9839919880486556,0.002090367709919549,0.0025925343117675368,0.9839919880624391
Fragility parameters,Structural + SVI + NDVI,HistGradientBoosting,14,0.006571623697138985,6.103093391696528e-05,0.008876492788238526,0.00010145310210941537,0.9838861501037641,0.00023454354638794057,0.006584658286496061,0.008166483083503626,0.9839919880581418,9.6932036250073,4.719589833985083,0.041498417005641386,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.005748511203166705,0.007129469358582591,0.9839919880569521,0.006793695058308093,0.008425736515169329,0.9839919880551251,0.00783887891085688,0.009722003667580305,0.9839919880675367,0.010451838550229084,0.012962671564418368,0.9839919880486556,0.002090367709919549,0.0025925343117675368,0.9839919880624391
Fragility parameters,Structural + SVI,Support Vector Regressor (LinearSVR),12,0.008859919449061051,0.00028743896445386345,0.009274580091874684,0.00013332107576586192,0.9455067260380807,0.0033477905933421673,0.008992398312121504,0.009277417316326846,0.9433061896204145,0.27290008301497437,0.15118512499611825,0.0056899999908637255,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.007934258900314599,0.008891309939749155,0.9751025720113824,0.008952703133809711,0.009134728747152982,0.9811846213373953,0.009628799303188133,0.009676781287086792,0.9841405658207402,0.009071070503534994,0.009163332251635632,0.9920006401720476,0.009375159719760091,0.009520934356009677,0.7841025487605071
Fragility parameters,Structural + SVI + NDVI,Support Vector Regressor (LinearSVR),14,0.008837674064477809,0.00031355325674366143,0.009280072362133572,0.00015488542223965798,0.945308851466359,0.003271341329109669,0.009114225314556424,0.009337014526509734,0.9430301129118233,0.3071297090209555,0.1574623330088798,0.005859750002855435,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.008196861682895972,0.008836148524379818,0.9754105394943656,0.00882985373070849,0.009078395399673849,0.9814159724852228,0.00955588621741567,0.009621966971560552,0.9843197290883658,0.009557380210866162,0.00959854504850965,0.9912227356194517,0.00943114473089583,0.009550016688424812,0.7827815878717103
Fragility parameters,Structural + SVI + NDVI,AdaBoost,14,0.008108985443733977,7.351088716046675e-05,0.010382229549968112,0.00021482062877267578,0.977949289940975,0.0008238439622081169,0.008497407993823859,0.010044780330237396,0.9757814491352808,4.52775333399768,5.299706999998307,0.06403579100151546,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.007418372058100213,0.008769252669254953,0.975781449135281,0.008767166977754743,0.01036366224548301,0.9757814491352815,0.010115961897408677,0.01195807182171032,0.975781449135285,0.013487949196546216,0.015944095762282038,0.9757814491352801,0.0026975898393094455,0.003188819152456657,0.9757814491352763
Fragility parameters,Structural + SVI,AdaBoost,12,0.008108985443734068,7.351088716053737e-05,0.010382229549968201,0.00021482062877275663,0.9779492899409746,0.0008238439622089484,0.008497407993824143,0.010044780330237719,0.9757814491352799,4.590774999989662,4.5530085419886746,0.041732334007974714,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.007418372058100133,0.008769252669254837,0.9757814491352816,0.008767166977755278,0.010363662245483584,0.9757814491352789,0.010115961897409447,0.011958071821711283,0.9757814491352811,0.013487949196546582,0.01594409576228242,0.975781449135279,0.0026975898393092677,0.0031888191524564687,0.9757814491352791
Fragility parameters,Structural + SVI,Extra Trees,12,0.009781357220636428,0.00038340543804027226,0.014395698686609353,0.0006729593556990217,0.9575804041983812,0.003271177484868631,0.007636912910185876,0.010314964854247568,0.9744610656808469,0.45256891701137647,0.22700658297981136,0.022970665973844007,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.006667146191432108,0.009005128047358991,0.9744610656808469,0.00787935458987433,0.010642424055969728,0.9744610656808468,0.009091562988316522,0.012279720064580448,0.9744610656808468,0.012122083984422013,0.01637296008610723,0.9744610656808469,0.002424416796884413,0.0032745920172214484,0.9744610656808469
Fragility parameters,Structural + SVI + NDVI,Extra Trees,14,0.009819830503338916,0.0003666408753062348,0.014351338336089453,0.000530573508988393,0.9578455780249292,0.0027732610153330317,0.008003990345865122,0.01084160243186627,0.971786678301665,0.4084243339893874,0.2014812089910265,0.034241249988554046,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.006987610619406054,0.009464891011946747,0.9717866783016649,0.008258085277479869,0.011185780286846154,0.9717866783016649,0.009528559935553724,0.012906669561745571,0.9717866783016649,0.012704746580738297,0.017208892748994065,0.971786678301665,0.002540949316147665,0.0034417785497988197,0.9717866783016649
