Feature Set,Model,CV_MAE,CV_RMSE,CV_RMSLE,CV_R2,CV_MAE_std,CV_RMSE_std,CV_RMSLE_std,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_RMSLE,Holdout_R2,Holdout_MAE_Positive,Holdout_RMSE_Positive,Holdout_RMSLE_Positive,Holdout_R2_Positive
HAZUS Benchmark,Extra Trees,0.0008042449472162335,0.004758636475189556,0.0038293403649766905,0.9872474769692065,3.495842288549589e-05,0.00025071975394444783,0.0001474602549675534,0.0004490538981790083,0.0008223782234323303,0.004805736129227133,0.0038827055098823626,0.9882422462838996,0.0012602519942964997,0.005949121626962888,0.004806482648826558,0.9879736616838452
HAZUS Benchmark,Decision Tree,0.0008476476962723136,0.004867303634675234,0.003884402123928822,0.9865774225370871,2.1974943166759086e-05,0.00013736026505570818,0.00011176199285663679,0.0012657254849667455,0.0008818661328088051,0.004913168647556535,0.003893148744929797,0.9877106797880196,0.0013514133257444322,0.006082114596415543,0.004819410548695509,0.9874299525135957
HAZUS Benchmark,AdaBoost,0.0016128426548983183,0.005559286678211802,0.004600734406618245,0.9824820812718859,4.7269465665265006e-05,0.00021528466015543137,0.00017928859775709019,0.0018277952839221077,0.0016645814390176656,0.00574605580684799,0.004710010319608913,0.9831909102509759,0.002324483115326992,0.007106392963181405,0.005822362896456372,0.9828396492996945
Event Damage Hybrid,KNN Regressor,0.0015553655226628424,0.007143200350739161,0.005985413732256302,0.9712057446831297,3.87495633066566e-05,0.00016000954738192445,4.666744301592663e-05,0.0007641186319573936,0.001516347420518979,0.007127681555646689,0.0059041558992938455,0.9741356782855124,0.0022994366775179035,0.0088227514229545,0.007307968189444028,0.9735493829599571
Event Damage Hybrid,Extra Trees,0.0019411920490972883,0.0083172482140444,0.006679211267916131,0.9610484005096102,9.792824839897229e-05,0.0006872276450509943,0.00047985249783292377,0.0037033729264094283,0.0017980518312081173,0.0075949346489259115,0.00609208434058539,0.9706334722448293,0.0025840714359035913,0.009381528696266284,0.007516183281556553,0.970092855871707
Event Damage Hybrid,Random Forest,0.0021830967888048056,0.008664348666386453,0.006869160907144151,0.9577358194164666,0.00010273032550463204,0.0006179563092273163,0.00040751280511411997,0.0030761522883214596,0.002225035800850864,0.009025358991611334,0.007100749688329726,0.9585300523145637,0.002994855208378218,0.011121824137540526,0.008725762371964981,0.9579680278045855
Event Damage Hybrid,LinearSVR,0.005819422884179048,0.014634458481572651,0.012941526723596048,0.8791665453752745,0.00013856449678893454,0.0004010737731329607,0.00025109242441359125,0.0033895038366413754,0.00597402517470711,0.015028370161334854,0.013203175235825778,0.8850184168893718,0.00915472501369284,0.018603933196618683,0.016344485857082997,0.8823918919020215
HAZUS Benchmark,LinearSVR,0.006093790157722756,0.015261557280357866,0.01349408676382983,0.8685912310444671,0.00015129895321251626,0.00042152781889946223,0.0002693773146721812,0.0036619316727283177,0.00625269139161855,0.01567907436183982,0.013771612476625719,0.8748458207512033,0.009581926778601287,0.01940945525691641,0.017048168151508985,0.8719869000772099
Event Damage Hybrid,Ridge,0.006681633565367397,0.01623786101466986,0.0141814804344142,0.851340411653279,0.00014781026600953133,0.0005679591094675116,0.0003630867148010855,0.0028145511343118748,0.006838179012406947,0.016788793839426747,0.014540450477217793,0.8565027728635114,0.010412344341304471,0.020777980100084324,0.017993927283097007,0.853298561295679
Event Damage Hybrid,Elastic Net,0.006709876739223385,0.01644856679557821,0.014344717943384133,0.8474580569526212,0.00016134230241307036,0.0005836321787611234,0.0003798052950633794,0.003113296572100045,0.006900409510471296,0.01703798963319894,0.014735847367426646,0.8522113043767842,0.010545317357090005,0.02109028841422988,0.01824020400088067,0.8488553571483244
